source,source_layer,element_code,element,site,name,lat,lon,in_lga,nearby_bbox,tail,agency,location_types,classification,source_url
BOM CDO station list,,139,Rainfall,66034,ABBOTSFORD (BLACKWALL POINT RD),-33.8507,151.1295,False,True,Jan 2004 Mar 2026 22.3 100 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66079,AVALON BEACH (AVALON (PALMGROVE RD)),-33.6358,151.3223,True,True,Oct 1958 Nov 2021 42.8 68 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66053,AVALON (WOLLSTONECRAFT AVE),-33.63,151.3291,True,True,Jan 2002 Jul 2015 13.2 97 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66002,BALGOWLAH (ETHEL STREET),-33.7997,151.2508,True,True,Jun 1940 Dec 1989 49.3 99 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66127,BEACON HILL RAAF,-33.75,151.25,True,True,Oct 1968 Oct 1973 5.1 100 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66188,BELROSE (EVELYN PLACE),-33.7402,151.2173,True,True,Jul 1991 Apr 2024 32.8 100 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,67052,BEROWRA (GOODWYN ROAD),-33.625,151.1491,False,True,Apr 1903 Jan 2017 70.3 62 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66178,BIRCHGROVE SCHOOL,-33.85,151.1833,False,True,May 1904 Jun 1910 5.9 96 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66146,BROKEN BAY NATL FITNESS CAMP,-33.5667,151.2667,False,True,Feb 1969 Nov 1975 2.6 38 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66008,BROOKLYN (SANDBROOK INLET),-33.5479,151.2079,False,True,Jun 1913 Jul 2011 57.9 59 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66155,BROOKLYN (WOBBY BEACH),-33.55,151.25,False,True,Jul 1970 Dec 1975 5.5 100 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66080,CASTLE COVE (ROSEBRIDGE AVE),-33.7809,151.2044,False,True,Oct 1958 Apr 2023 64.6 100 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
BOM CDO station list,,139,Rainfall,66011,CHATSWOOD BOWLING CLUB,-33.801,151.1803,False,True,Jul 1951 Mar 2026 35.6 48 N,,,,https://www.bom.gov.au/climate/data/lists_by_element/alphaNSW_139.txt
